Chinese,French
核实,Vérifier
落后,à la mer
它,Ce
倍,doublement
母狮,lionne
自行车,bicyclette
巴利者,huissier
用,utilisation
瞄准,visée
奇怪,surprenant
附近,proche
座位,siège
偏见,biaisé
book,bookmaker
墓地,cimetière
坚持,adhérence
赌注,pari
忘记了,oublié
过多的,excessif
哈腰,se baisser
补救,remède
套房,suite
半球,hémisphère
游艇,yacht
鲟,esturgeon
可以,pourrait
颤抖,trembler
结果,conséquence
蘸,tremper
钉子,cheville
盲目,aveuglement
一样,également
旅行,en voyageant
管理,faire en sorte
硬化,durcir
态度,attitude
魅力,charme
违反,violation
肺,poumon
多事,mouvementé
共和党人,républicain
糊状,détrempé
衬衫,la chemise
申请人,demandeur
喋喋不休,bavarder
爱国者,patriote
歪曲,fausser
避难所,refuge
灰色的,gris
心理学,psychologie
不可能的,impossible
回绝,rebuffade
请愿,pétition
费用,frais
恢复,revenir
分数,But
撤离,évacuer
小猪,porcin
休息,Pause
齐齐,hanche
敲打,claquement
狡猾,malin
光泽,brillant
fle,volant
诡计,ruse
起疙瘩的,renflement
未经授权,non autorisé
猪油,saindoux
hea,houle
矿,Mien
幸运,Heureusement
胜过,Plus fort
胶水,la colle
财富,richesse
热,Chauffer
远足,relever
哮喘,asthme
两星期,quinze jours
干涉,intermédiaire
头巾,turban
刻薄,méchant
一口大小,taille de morsure
鼓掌,applaudir
普遍存在,envahissant
玩具,jouet
戏剧,drame
质量,qualité
光,léger
资格,qualifier
分析,une analyse
便宜货,bonne affaire
溜走,scoot
第十,dixième
大胆,audacité
毫无意义,insensé
青少年,adolescent
争夺,brouillé
呼啸,sifflement
修道院,couvent
尘土飞扬,poussiéreux
患者,chez patient
扑通,cogner
静脉,veine
闪亮,luire
奇妙,merveilleux
无能,incompétence
big,grand coeur
樱桃,cerise
市长,maire
拼写,orthographe
强悍,intrépide
瘟疫,pestilentiel
转移,dérouter
选择,opter
锁起来,verrouillage
能力,aptitude
卖,vendu
吐司,pain grillé
购物,achats
草皮,gazon
织物,en tissu
历史学家,historien
设施,établissement
sing,roussir
重要的,important
瑞士人,Suisse
腱子,tendon
一起,ensemble
联盟,Alliance
娱乐,amusement
暴露,exposition
bl,type
晚餐,dîner
伴侣,camarade
给,donner
地狱,monde souterrain
牙医,dentiste
骚动,agitation
民用,civil
骚乱,perturbation
球拍,raquette
锁孔,trou de serrure
提到,mention
标准,la norme
加入,joindre
燕尾服,smoking
易于,enclin
吻,embrasser
视觉,vue
危险地,dangereusement
从技术上,techniquement
屋顶,toit
已经,déjà
企业家,entrepreneur
意图,intention
豪华,chic
殖民主义者,colon
猛扑,bondir
拉屎,merde
布谷鸟,coucou
旗帜,drapeau
液体,liquide
获得,obtenir
条款,termes
可疑的,méfiant
墨水,encrer
向外,vers l'extérieur
汗,transpiration
酒鬼,ivrogne
海,mer
分娩,accouchement
磨,moulin
紊乱,désordre
赶快,hâte
叱,huée
衔铁,armature
投,lancer
宣传册,brochure
乌鸦,corbeau
进步,le progrès
循环,circulation
怨恨,rancune
间接,indirect
医院,hôpital
裤子,les pantalons
外甥,neveu
压缩,Zip *: français
二月,février
听不清,inaudible
衰退,décoloration
兄弟,frère
软垫,coussin
麦芽,malt
满足,accompli
b,barre
吝啬鬼,avare
全部的,tout
忽略,ignorer
命令,commander
入侵,envahi
的确,En effet
残酷的,rude
槽,rainure
承诺,engagement
砖,brique
货车,camion
韵,rime
大厅,lobby
地窖,cave
优点,mérite
獾,blaireau
合一,à juste titre
浪潮,marée
机器人,robot
偏执狂,paranoïa
临时,provisoire
活,vivant
地方,endroit
沼泽,le marais
智慧,sagesse
已,a
噘,moue
赞助人,mécène
研磨,moudre
作为,comme
inc,incurable
提示,Astuce
各不相同,varier
棕色的,brun
doleful.,dolent
餐饮,restauration
学期,semestre
复仇,vengeance
羞辱,humilier
代替,remplacer
优雅的,élégant
迅速的,rapide
Teem.,te chercher
批评,critiquer
走,marche
愤怒,colère
迷信,superstition
guy,mec
压迫,opprimer
家具,un meuble
皮匠,cordonnier
妓女,prostituée
缠住,obséder
冒险,aventureux
妄想,illusion
钦佩,admirer
酸,Tarte
解开,déboutonner
研讨会,séminaire
色调,teinte
投掷,jeter
港口,port
鄙视,mépris
剧烈,radical
无能为力,incompétent
flash,tape à l'oeil
终极原则,ultimatum
霜,gel
等待,attendre
至关重要的,impératif
隐藏,cacher
抽烟,fumeur
我们的,les notres
录音机,enregistreur
邮箱,boites aux lettres
图标,icône
那里,là
祝福,bénédiction
垄断,monopole
bl,gonfler
麾,réjouir
过度反应,réagir de façon excessive
Godforsaken.,paumé
键盘,clavier
最酷的,cool
揭露,dévoiler
窗台,seuil
杠杆,levier
break,rupture
乳头,mamelon
基本的,fondamental
消遣,Passe-temps
卵石,galets
报告,rapport
饵,appât
乘客,passager
新娘,de mariée
攻击,attaque
屁股,bout
球座,tee
祖父母,grands-parents
残酷,cruauté
脚趾,doigt de pied
真实地,honnêtement
牙齿,les dents
姿势,pose
粪,tumulte
朋克,punk
广阔的,vaste
毫无原地说,sans fondement
拼图,scie sauteuse
炮火,fusillade
国会,congrès
发牢骚,crever
手势,geste
中,milieu
预订,réservation
知识,connaissance
卖,location
格式,format
诚实地,franchement
可怜,pitoyable
rabid.,enragé
具有,posséder
辉煌,éclat
串,enfermé
镇静剂,sédatif
乘,multiplier
垫,tapis
相关的,pertinent
酥脆,croustillant
黑板,tableau noir
睡过头,dormir trop longtemps
敏感的,sensible
爆炸,exploser
科学,science
危害,compromettre
吹牛,se vanter
撒谎,couché
崩溃,fusion
某物,quelque chose
海外,à l'étranger
撤销,révoquer
句子,phrase
建议,suggérer
逼迫,feux de la rampe
惹恼,décharné
呕吐,vomir
一些,certains
冠军,champion
提升,élever
愉快,agréable
垃圾,vulgaire
捆绑,obligatoire
客户,client
安装,installation
抑制,inhiber
严重地,sérieusement
寂寞,solitaire
公猪,sanglier
会计,comptabilité
拍,tapoter
坚持,insister
沮丧,consternation
皱纹,ride
企鹅,manchot
教育,éducation
巫术,la sorcellerie
贝壳,coquille
女士,Dame
自主性,volontaire
外部的,extérieur
桶,baquet
稀有性,rareté
手枪,pistolet
难忘,mémorable
祷告,prière
想象,vision
子弹,balle
例子,Exemple
双语,bilingue
匿名的,anonyme
稳定的,stable
怜悯,concistrer
渎神,profane
外国人,étranger
占据,occupé
叶片,girouette
钟,cloche
偷偷摸摸,surprendre
到处,partout
杰,geai
领导,direction
bright,éclairer
暗淡,obscurité
机构,agence
超过,dépasser
gen,génial
跛行,mous
错误,gaffe
刮风,venteux
电视,télévision
淫,pervers
遗传学,génétique
浑,boueux
处女,vierge
房东,propriétaire
讲话,parlez
高贵,noble
保持,conserver
幽默,humoristique
cl,motte de terre
恶意,malice
吸血鬼,vampire
喘气,haleter
被告,défendeur
孪生,jumeaux
取代,supplanter
馊,rance
观众,public
自杀,suicidaire
调和,réconcilier
喘息,reniflard
巡航,croisière
担保,garant
路线,route
项链,Collier
预测,prédestination
补充,supplément
扣压,retenir
丝绸,soie
故意地,intentionnellement
恶棍,scélérat
能力,capacité
发炎,enflammer
障碍,obstacle
信使,Messager
韧性,rapacité
海湾,golfe
专家,expert
部,ministère
蒙特利,métley
雄辩,éloquent
长腿,aux longues jambes
泊位,couchette
薪水,un salaire
扑克,poker
精英,élitiste
速度,la vitesse
富有的,riche
椭圆形,ovale
十字路口,Carrefour
桑尼,fiston
坦克,Char
赎金,une rançon
洗碗水,lavasse
乡村,rustique
包子,chignon
一种,une
审查,revoir
卫星,Satellite
写真,représenter
良心,conscience
凑合,improviser
剩,reste
英语,Anglais
尴尬,embarras
滋扰,nuisance
宣布,proclamer
pl,clapotis
凡,Zut
领域,domaine
要求,exiger
重叠,chevauchement
神奇,miraculeux
婚礼,mariage
臭,malodorant
陈述,déclaration
最好的事物,meilleur
刀具,coupeur
诡计,ruse
整齐的,bien rangé
策略,stratagème
步,étape
叛乱,rébellion
投币口,insérer
扣上,Boucle
面条,nouille
arg,argon
出纳员,la caissière
经典,classique
喊声,mugissement
粉末,poudre
收集,collecte
帮派,gang
射手,archer
port,corpulent
短信,message texte
对手,adversaire
简短的,bref
伤害,nuisible
喷,jet
忘恩负义,ingrat
战斗机,combattant
律师,solliciteur
推进,propulser
游行,parade
修道院,cloître
合理的,plausible
内脏,entrailles
选票,scrutin
声望很高的,prestigieux
挑衅的,agressif
肝炎,hépatite
金融,la finance
诛戮,abattre
有,avais
渡船,traversier
板栗,châtaigne
瑕,impur
可爱的,mignonne
蛋糕,cupcake
邪恶,mal
拖拉机,tracteur
八,huit
验证,éprouvé
条纹,Bande
跨度,envergure
英寸,pouce
制作,Fabriquer
风,vent
绝经,hors pair
缺席的,absent
粉碎,fracasser
处理,disposition
空调,climatisation
a,en feu
观察,observer
杆,tige
海绵,éponge
Shindig,fiesta
决定,décision
感激,Reconnaissance
激荡,agiter
一个人,anoitance
想象,imaginer
舌头,langue
轻轻,légèrement
客厅,parloir
啄,picorer
首席,chef
旋律,mélodie
sl,claquer
爪子,patte
闪烁,scintillement
侵入,s'immiscer
火鸡,Turquie
伦理,éthique
加油,ravitailler
殖民主义,colonialisme
最初,initialement
宠物,animaux
同居,cohabiter
年级,classe
程序,programme
日历,calendrier
卡特,charretier
生气的,en colère
容器,récipient
暂停,suspendre
篮,rebond
锈,rouiller
偏僻的,à distance
conn,connaître
计算机,ordinateur
刺刀,baïonnette
称谓,appellation
发送,envoyer
壮观的,spectaculaire
虾,crevette
虽然,même si
唱,chanter
咸,salé
八月,août
唤起,évoquer
补偿,compenser
动态的,dynamique
ill,illicite
胎儿,fœtus
害怕,angoissant
控制,contrôler
痢,dysenterie
剥夺,priver
rip,déchirure
格子,treillis
正面,façade
悲伤,tristesse
字首,préfixe
麻烦,troubles
黎明,Aube
刮,rayer
汹涌,turbulent
鹊,pie
教义,doctrine
截距,intercepter
公民,civique
杜松子酒,Gin
差距,disparité
禁止,interdire
武器,arme
血清,sérum
格栅,grille
放松,se détendre
恶化,exaspérer
闹鬼,hanté
到,à
包裹,enveloppé
徽章,badge
颚,mâchoire
出勤,présence
豺,chacal
有薪酬的,payé
失误,laps
泛,timide
零,zéro
大厅,salle
挚,endosser
诽谤,diffamatoire
凶猛,féroce
承担,entreprendre
GNAT.,moucheron
托盘,plateau
优质的,ancien
特征,caractéristique
腰部,longe
含义,implication
手套,des gants
肿胀,gonflement
喘气,haleter
超越,surmonter
国家,nation
逻辑,logique
滥用,abuser
原因,causer
括,joindre
状态,Etat
犹,Juif
重量,poids
撒尿,pipi
雇佣兵,mercenaire
蹂躏,ravager
貂,vison
盗窃,cambriolage
近乎,proximité
启示,révélation
奖,prix
视觉的,visuel
可识别的,perceptible
帆布,solliciter
目前,actuellement
谷仓,Grange
香肠,saucisse
视频,vidéo
缠绕,ficelle
桨,pagayer
发泄,se déplacer
是,été
绑架,kidnapper
假,faux
偷偷摸摸,furtivement
收益,gains
内裤,slip
它的,son
彗星,comète
咨询,consultant
唯物主义,matérialiste
泻药,laxatif
吃过,mangé
隐藏,cacher
避免,éviter
提出,proposer
疯狂的,fou
道德,moral
推测,conjecture
卓越,éminence
香脂,baume
稀缺,rare
惊骇,épouvanter
den,tanière
溃疡,ulcère
任何地方,partout
l,grêle
可比,comparable
认证,agréé
雕塑家,sculpteur
奉承,flatter
猫头鹰,chouette
投影,projection
著名的,célèbre
沙皇,tsar
原则,principe
意大利面,spaghetti
日常的,du quotidien
理由,justification
帆,naviguer
粗心,négligent
剥夺,privation
白痴,imbécile
关心,se soucier
强调,souligner
介绍,introduction
腿,jambe
backseat.,reculer
恨,détester
完成,achèvement
船,bateau
结婚,marier
店铺,boutique
抱怨,gémissement
的确,accordé
铅笔,crayon
轻盈,souple
沉淀,précipitation
不孕,infertile
不利,négatif
开车,a conduit
到达,en arrivant
采纳,adopter
小猫,chaton
买得起,s'offrir
草,herbe
我,moi même
桌子,bureau
大教堂,cathédrale
褪色,disparaître
衰减,atténuer
停止,arrêter
脆弱的,fragile
工具,outil
不诚实,malhonnête
忧,pensif
键,lier
静止的,statique
运动员某个地方,sportif quelque part
她,sa
认真,sérieux
运气,chance
准确的,précis
归功,malicieusement
致敬,salutation
晕倒,évanoui
访问,visite
卷曲,boucle
微风,brise
唠叨,claquement
兽,bestial
公墓,cimetière
犹,espiègle
说过,mentionné
伴娘,demoiselle d'honneur
画家,peintre
鹿肉,venaison
传奇的,légendaire
沉没,creuser
污垢,saleté
装饰,décoration
意识到,prendre conscience de
Aura,aura
肩膀,épaule
评价,évaluation
兄弟情谊,fraternité
商人,homme d'affaire
尖顶,clocher
凶猛的,féroce
ad,catégorique
继承人,héritier
强制的,obligatoire
弟子,disciple
角落,coin
政变,coup
卡住,bloqué
小牛肉,veau
馋嘴,glouton
满足,satisfaire
猪,porc
代理人,substitut
需要,nécessaire
排演,répétition
肚子,crêpelé
国歌,hymne
恰恰,précisément
永恒的,permanent
叽,plaindre
摄政,régent
复制品,réplique
复制,copie
弹跳,rebondissant
写道,a écrit
朦胧,obscur
远足,randonnée
出租车,Taxi
面糊,Battre
我,moi
飞船,vaisseau spatial
热带,tropical
预订,réservation
自从,puisque
轴,axe
保管,garde
飞行员,pilote
调解,médiat
技术,La technologie
辛劳,labeur
争议,controverse
收件人,destinataire
馋,élégant
栅栏,clôture
d,aumône
反应,réagir
违反,enfreindre
有意识的,conscient
f,repousser
同学,camarade de classe
转变,changer
腹部,ventre
熟练,habile
系统,système
扫帚,balais
上坡,montée
德语,Allemand
报酬,récompense
降解,dégradation
麦克风,microphone
浸泡,tremper
羊绒,cachemire
肠,intestin
判决,verdict
警报,alarme
事先的,avant
乐队,bande
击败,vaincu
美味,délicatesse
里面,à l'intérieur
嘟,bip
主要是,surtout
国民,nationale
愿意,volontiers
反对,manifestation
大厅,foule
att,harmoniser
磨料,abrasif
核,nucléaire
庇护所,abri
第七,septième
马,cheval
流亡,exilé
陷阱,piéger
错误的,tort
导游,courrier
灰尘,poussière
耳朵,oreille
休会,récréation
活力,énergie
下,sous
奇怪,bizarre
无可指责,irréprochable
努力,aspirer
处方,prescription
辐射,radiation
盒子,boîte
保护的,protecteur
鹿,cerf
虫,Ver de terre
段落,paragraphe
行星,planète
解释,Explique
半月,demi Lune
公告,proclamation
协调,coordonner
司机,chauffeur
愤怒,indigné
叉子,fourchette
除此以外,autrement
组织,tissu
恢复,restauration
藤蔓,vigne
复杂的,complexe
估计,croire
先例,précédent
积极的,positif
冒犯,affront
地球,Terre
睡眠,dormir
地面,sol
吐,cracher
胹,dessécher
轻微,léger
重复,répétition
演员,actrice
安全,sécurité
承认,avouer
葡萄干,raisin
严肃的,sérieuse
奇怪的,impair
全身心,entièrement
依恋,attachement
解冻,dégel
检查员,inspecteur
愤怒,rage
歧义,ambiguïté
高超,superbe
炒,frire
家庭主妇,femme au foyer
瘾,dépendance
淫秽,obscénité
Sanctify.,sanctifier
同意,convenir
确实,absolument
任何,tout
甜美,succulent
回答,réponse
知识分子,intellectuel
薄荷,menthe poivrée
ob告,nécrologie
保存,préservation
寻求,quête
夏令,lumière du jour
验收,acceptation
更喜欢,préférer
钩针编织,crochet
野营,camping
所有者,propriétaire
气泡,bulle
自我,ego
破碎的,cassé
强大,puissant
祈祷,prier
美食,gourmet
那,cette
早午餐,brunch
fe,feinte
naught.,néant
干净的,nettoyer
excel.,exceller
爬行,rampant
坏的,mauvais
矛,lance
跳,saut
渴望,désir
脯,confit
镇,ville
拐杖,béquille
灵敏度,sensibilité
振幅,amplitude
墙,mur
眯,strabisme
做,faire
王国,Royaume
误入歧途,égaré
照片,photographier
较小者,moindre
讨厌,odieux
确认,confirmer
抑制,trottoir
秘密,secret
涓涓细流,ruisseler
暗示,faire allusion
使困惑,confus
沸腾,ébullition
摔角,lutte
装饰,décorer
杠杆作用,effet de levier
痛苦,angoisse
地区,Région
克服,surmonter
志愿者,bénévole
指导,conseils
抵消,décalage
土着,indigène
偶然,au hasard
礁,récif
原型,prototype
拱,cambre
大陆,continent
更多的,Suite
欣赏,appréciation
梯子,échelle
遗嘱,testament
霰弹枪,fusil à pompe
定,précis
哲学,philosophie
随机的,Aléatoire
运输,le chariot
不舒服,inconfortable
爱慕者,admirateur
护送,escorte
民主党人,démocrate
侧身,de côté
嫁妆,dot
蹒跚,entraver
袜,stockage
你的,les vôtres
复制,copié
标题,Titre
体积,le volume
心理,psychologique
比率,rapport
大量的,massif
熟悉,informer
欢蹦乱跳,rompe
沮丧,dépression
发布,publier
棺材,cercueil
全套服装,tenue
徒劳的,vaine
批,grouper
神话,mythe
提高,améliorer
人们,gens
写作,l'écriture
新生,nouveau née
根,racine
外貌,apparence
占用者,occupant
摇篮,berceau
唾沫,salive
基本上,essentiellement
舒适,aménité
闷热,étouffant
无穷无尽,sans fin
盛大,grandiose
经济,économique
牌,marque
红发,roux
缎,satin
合理的,justifié
停止,cesser
做,Est-ce que
高兴的,content de
清偿,payer
演说者,orateur
运动,sport
编程,la programmation
西班牙语,Espagnol
惩罚,Châtiment
忧郁,broyer du noir
忠诚,allégeance
c,convaincant
集电极,collectionneur
失败,se tortiller
天堂,paradis
波动,fluctuer
父亲,père
不负责任,irresponsable
匆忙,se ruer
出现,émerger
谋杀,meurtre
服从,obéissance
滑冰,patin
规范,norme
试镜,audition
解析度,résolution
服务器,serveur
承诺,promesse
不稳定,instable
艰难的,dure
摇摇欲坠,bouffant
伪造,falsification
贿赂,pot-de-vin
装饰,décoré
艰巨,difficile
坚果壳,coquille de noix
市场,bazar
保龄球,bowling
盎司,once
怜悯,pitié
责任,responsabilité
生病的,malade
俱乐部,club-house
耸,hausser les épaules
铁路,chemin de fer
鞭子,fouet
大部分,en grande partie
豌豆,pois
放大,agrandir
电影,cinéma
静止的,papeterie
想,vouloir
比赛,rencontre
或者,ou
冷笑,ricanement
自然,Naturel
永恒,éternité
国外,à l'étranger
基本的,primaire
粉刺,acné
镜片,lentille
平衡,équilibre
疗养,récupérer
看法,vue
生态,écologie
领事馆,Consulat
年龄,âge
老式的,démodé
烹饪,cuisine
走道,rayon
复数,pluriel
lin,direct
蒸汽,fumer
站立,supporter
继续,procéder
埃德奇,édifice
提醒,rappeler
执行,réalisé
rel,revivre
路线图,feuille de route
弯曲,pliez
痛苦,douloureusement
有人,quelqu'un
侏儒,nain
漫谈,randonnée
否则,inoffensif
伤心,triste
面容,visage
延期,extension
全部,tous
听写,Dictation
可食用,mangeable
舀,scoop
前臂,avant bras
运动,mouvement
起初,initialement
华丽,solennité
他,lui
挑衅,provocation
最高,plus haut
艺术,artiste
占星,horoscope
香草,vanille
香气,arôme
明显地,évidemment
画,dessiné
绝望,désespoir
沃,fertile
忙碌,agitation
舵,gouvernail
辩护人,défenseur
inextpient.,inopportun
裂缝,fissure
管道,tuyau
胁迫,coercitif
忏悔,confession
快的,rapide
宣扬,juré
离开,Départ
星期三,mer
楔子,couperet
服务员,Garçon
住宅,logement
思想开明的,ouvert d'esprit
女仆,virilité
放大,amplifier
阴影,ombre
椰子,noix de coco
自杀,suicide
剑,épée
刷子,brosser
探测,détecter
总是,toujours
点击,Cliquez sur
因为,car
求,mendier
较短,plus court
收费,des charges
鞭打,fouetter
面纱,voile
敏感,suceptible
缓和,apaiser
责任,responsabilité
离婚,divorce
嘘,faire taire
保证,garantie
飞跃,saut
暮,crépuscule
s,niaiserie
狂热,avide
邋..,négligent
可取的,aboninable
接受,J'accepte
帮手,assistant
郁金香,tulipe
昆虫,insecte
经度,longitude
压力,pression
仡,costaud
是,être
排除,exclusion
分别,respectivement
葡萄牙语,Portugais
战术上的,tactique
十月,octobre
专业,professionnellement
滋养,nourrir
抢劫,vol
缺陷,défaut
裁判,arbitre
衣服,vêtir
尊敬,avec respect
母羊,brebis
抛出,jeta
后院,arrière-cour
配音,dub
复发,rechute
在,dans
种类,type
例证,exemplifier
火山,volcan
螺旋,spirale
回馈,retour d'information
大陆,continuel
法院,tribunal
牧师,révérend
无话语,sans voix
超重,en surpoids
误操作,mal évaluer
啜,siroter
经常,régulièrement
掠夺,corbeau
脉冲,impulsion
跳过,sauter
教练,entraîneur
新手,novice
叶子,feuille
奉献,dévouement
代表,au nom de
实验室,laboratoire
鼻子,nez
海藻,algue
降落,atterrissage
凹痕,bosse
潜在的,potentiel
继续,Continuez
人们,personnes
专家,spécialiste
东西,truc
纵火师,arsoniste
车,auto
构成,constituer
辛辣的,épicé
轮缘,jante
伴侣,un compagnon
包含,intégrer
far,farfelu
下属,subalterne
奴隶制,esclavage
假发,perruque
碎片,débris
移植,transplantation
红宝石,rubis
打消,dissiper
lay,allonger
钱,de l'argent
轻微地,légèrement
池塘,étang
荒地,inhospitalier
f,compagnon
序幕,prélude
可恨,détestable
不断地,constamment
释,libéré
蜂鸣器,bip
标记,marque
性感,sexy
规定,stipuler
毛皮,peau
分配,division
厚颜无耻,effronté
do,auteur
盒式磁带,cassette
漏洞,bogue
可能性,possibilité
前额,front
言语,parole
不同,différemment
安排,arrangement
饱和,saturer
青少年,enfant
相同的,même
r,râpe
南,Sud
忽略,négligence
乳房,pis
监督,superviser
利可拉德,lucratif
金鱼,poisson rouge
退休,retraité
嘲笑,railler
比较,Comparaison
绝对,absolu
贵族,la noblesse
软管,tuyau
槎,tailler
绒毛盒子,médaillon
Sane.,sain
重要的,important
脚印,empreinte
加工,En traitement
善良,la gentillesse
鳕鱼,la morue
命令,ordre
降落伞,parachute
骚扰,harcèlement
不良,mauvais pour la santé
殴打,battu
高速公路,Autoroute
引起,susciter
预订的,réservé
组合,combinaison
大致,grossièrement
小心,prudent
撕裂,déchiré
放大,élargissement
匆忙,se presser
四,quatre
后代,progéniture
卡片,carte
c,cadet
狂躁,la manie
捉摸,brasse
吞,avaler
假设,hypothétiquement
滑雪,ski
中间的,intermédiaire
搬家,avant goût
蛮横,péremptoire
袍,robe
特征,caractéristique
展示,exposition
附录,annexe
柠檬,citron
亭,pavillon
纸,papier
亲切,gracieux
荒谬,absurde
最快的,le plus rapide
羊,mouton
脊柱,la colonne vertébrale
低音,basse
桶,seau
表明,indiquer
卓越,exceptionnel
坟,la tombe
德国蛋糕,déliquité
红菜头,betterave
大声哭,chialer
喷射,éjecter
概念,abri
一致性,cohérence
指控,accusation
充足的,suffisant
传播,diffuser
营养不良,malnutrition
准备,préparation
更轻松,Plus facile
发电机,Générateur
谢,shérif
您的,ton
研究者,enquêteur
沉着,déposition
无聊,ennui
古老,Archaïque
预兆,présage
热线,hotline
混乱,grabuge
僧,moine
年度的,annuel
接待,accueil
居民,résident
证明,attester
被动的,passif
烂,pourri
翻译,Traduction
舰队,flotte
教化,civiliser
认识,connaissance
绞,emmêler
滑雪者,skieur
损害,dommage
j,déchiqueté
值得,digne d'intérêt
厨师,cuisiner
麻木的,engourdi
麻疹,rougeole
咕噜咕噜,gargouillis
车库,garage
商品,des biens
休息室,salon
矿物,minéral
淀粉,amidon
居民,habitant
庆典,fête
裁缝,tailleur
感觉,sensation
坚持,défendre
铁,fer à repasser
五十,cinquante
改进,amélioré
龙虾,Homard
r,ravi
放置,placement
破坏,détruire
芦笋,asperges
手提包,Sac à main
光滑,lisse
征服,maîtriser
边缘,bord
忙碌的,occupé
唤醒,réveiller
松弛,flasque
不和谐,discorde
des,cesser
欢呼,acclamer
民主党人,démocratique
避风港,havre
极性,polarité
间谍,espionnage
消耗,consommation
政权,régime
收据,reçu
法医,légal
聪明的,intelligente
发达,développé
自负,vaniteux
浮力,flottabilité
落后,décalage
fe,feinty
抱怨,gémissements
警觉,vigilance
不忠诚,déloyal
蜂窝,ruche
驻军,garnison
光滑的,lisse
断裂,fracture
高效的,efficace
微不足道,insignifiant
毅力,persévérance
滨水,front de mer
地狱,l'enfer
布丁,pudding
野餐,pique-nique
不可避免的,inévitable
笑,rire
硫,soufre
动荡,troubles
发誓,vœu
八十,quatre-vingt
离合器,Embrayage
裸,nu
握住,tenu
地址,adresse
入口,entrée
饶,ravissement
瘿,fiel
稻草,paille
甜的,doux
痞子,brute
南瓜,citrouille
概念,concept
平民,civil
邪,culte
长大,grandi
开,passé
停止,cessation
多年生,vivace
禁令,injonction
管子,tube
利己主义,égoïsme
怨恨,resserrer
瓷,porcelaine
对抗,contrarier
随附的,ci-joint
荒凉,désolé
大的,grand
恶棍,scélérat
ringer.,sonneur
扩张,développer
揭示,révéler
军队,troupes
消化不良,indigestion
记者,journaliste
ward,salle
半,semi
就业,emploi
蓝莓,myrtille
不专业,peu professionnel
绷带,bandage
沼泽,marécageux
停留,rester
将,aurait
遮荫,ombre
神社,tombeau
流动,couler
广告,les publicités
不一致,incohérence
统治者,règle
音节,syllabe
泊,lande
敌人,ennemi
面具,masque
基础结构,infractructure
包括,comprendre
氧,oxygène
躲闪,Esquive
通常,typiquement
综合的,complet
惊险,Stupéfiant
机制,mécanisme
先锋,pionnier
种类,sorte
加长,allonger
恶意,mal intentionné
朗姆酒,Rhum
灿烂,splendide
柱子,colonne
Compatriot.,compatriote
驾驶,conduire
咨询,consulter
门厅,couloir
临检,farfouiller
昏昏欲睡,somnolent
粗鲁的,Impoli
竖琴,harpe
闲暇,loisirs
发明,invention
灯笼,lanterne
熔化,faire fondre
反对,contre
文明,civilisation
租,louer
不满,irrité
滚轴,rouleau
一半,demi
jean.,jean
成交,clandestin
慢点,Ralentissez
行业,industrie
结,nouer
泄露,fuir
长笛,flûte
荣耀,gloire
灰烬,cendres
预发起,prémonition
取出,sortir
栖息地,habitat
挖掘,creuser
通过,passant par
地位,statut
第四,Quatrième
统一,unité
凝结,condensé
频繁,fréquent
纠纷,enchevêtrement
真的,authentique
大黄,Rhubarbe
萝卜,un radis
解毒剂,antidote
他的,le sien
全新,tout neuf
厌恶,détester
职业,métier
女儿,la fille
日记,journal intime
迹象,indication
建立,établissement
抵抗,résister
敲诈,chantage
物物交换,troc
三位一体,Trinité
汽,vapeur
章节,chapitre
长袍,peignoir
scr,scrupuleux
鲁莽,téméraire
害怕,peur
合法的,légal
迅速的,rapide
无血,exsangue
符合,se conformer
舔,léchage
登记,enregistrement
圆,circulaire
脆皮,croûte
晚了,en retard
尊敬,distingué
模糊,se brouiller
不满意,insatisfaction
主观,subjectif
太平洋,pacifique
愤怒,fureur
暴行,atrocité
空手道,karaté
托儿所,crèche
演习,manœuvre
说话,parlez
云,sans nuages
划痕,rayure
可令人遗憾的,déplorable
荚,cosse
光学的,optique
团结,unir
喙,le bec
代表,représentant
洗发水,shampooing
sc,maigre
暂时的,temporaire
标题,titre
重新保存,résoudre
神,déité
舍弃,renoncer à
蛋糕,gâteau
痴迷,obsessionnel
英国,Angleterre
w,pipi
软件,Logiciel
胶合板,contre-plaqué
宫,palais
Zealot.,fanatique
填充,remplissage
挫败,déjouer
香烟,cigarette
挖,creuser
暴君,despote
luxur,luxuriant
本国的,originaire de
弓,arc
雪崩,avalanche
育儿,parentalité
疮,douloureux
插头,prise de courant
泯,effacer
幻想,fantaisie
男子,Hommes
记录,documentaire
压迫,oppression
果园,verger
呼吸,respiration
声音,sonner
中断,interruption
安装,installer
所谓的,soi-disant
歪,courbé
宣布,annonçant
击退,repousser
模糊的,ambigu
初探的,rudimentaire
咨询,consultation
riddance.,débarras
试图,tentative
癌症,cancer
最近,récemment
旅行,voyage
录,admission
竹子,bambou
最小的,plus petit
权宜,opportun
Bailey.,bailey
等待,en attente
少量,bit
听到,écouter
阴霾,brume
伪造,contrefaire
包,balle
索利,consistance
不法外,discrètement
环绕,entourer
冲孔,perçant
h,hank
小吃,casse-croûte
良性,bénin
放,mettre
战争,guerre
树林,bosquet
擦,frotter
故意,à dessein
倾倒,décharger
加速,accélérer
管,canal
口袋,poche
部落,tribu
大麦,orge
幸运的,chanceux
关系,relation
港口,Port
联合的,découper
原油,brut
裁判诉讼,magistrat
