English,French,Chinese,Pingying,Spanish,German
herself,se,她自己,tā zì jǐ,sí misma,sie selbst
would,aurait,将,jiāng,haría,möchten
list,liste,列表,liè biǎo,lista,aufführen
mess,désordre,混乱,hǔn luàn,desorden,chaos
deserve,mériter,应得,yìng dé,merecer,verdienen
cute,mignonne,可爱的,kě ài de,lindo,niedlich
dress,robe,裙子,qún zǐ,vestido,kleid
interesting,intéressant,有趣的,yǒu qù de,interesante,interessant
jesus,jésus,耶稣,yé sū,jesús,jesus
hotel,hôtel,酒店,jiǔ diàn,hotel,hotel
enjoy,prendre plaisir,请享用,qǐng xiǎng yòng,disfrutar,viel spaß
quiet,calmer,安静的,ān jìng de,tranquilo,ruhig
road,route,路,lù,la carretera,straße
eve,veille,前夕,qián xī,víspera,vorabend
short,court,短的,duǎn de,pequeño,kurz
beat,battre,打,dǎ,derrotar,schlagen
mention,mention,提到,tí dào,mencionar,erwähnen
clothe,vêtir,衣服,yī fú,vestir,kleiden
neither,ni,两者都不,liǎng zhě dū bù,ninguno,weder
fix,réparer,使固定,shǐ gù dìng,reparar,fix
respect,le respect,尊重,zūn zhòng,el respeto,respekt
spent,dépensé,花费,huā fèi,gastado,ausgegeben
prison,prison,监狱,jiān yù,prisión,gefängnis
attention,attention,注意力,zhù yì lì,atención,beachtung
near,à proximité,靠近,kào jìn,cerca,in der nähe von
bar,bar,酒吧,jiǔ ba,bar,bar
pass,passe,经过,jīng guo,aprobar,passieren
gift,cadeau,礼物,lǐ wù,regalo,geschenk
dark,foncé,黑暗的,hēi àn de,oscuro,dunkel
self,soi,自己,zì jǐ,uno mismo,selbst
normal,ordinaire,普通的,pǔ tōng de,normal,normal
aunt,tante,姨妈,yí mā,tía,tante
dollar,dollar,美元,měi yuán,dólar,dollar
lawyer,avocat,律师,lǜ shī,abogado,rechtsanwalt
apart,une part,分开,fēn kāi,aparte,ein teil
certain,certain,肯定,kěn dìng,cierto,sicher
plan,plan,计划,jì huá,plan,planen
girlfriend,copine,女朋友,nǚ péng yǒu,novia,freundin
floor,sol,地面,dì miàn,suelo,boden
whether,qu'il s'agisse,无论,wú lùn,ya sea,ob
everything,tout,一切,yī qiē,todo,alles
present,présent,展示,zhǎn shì,regalo,gegenwärtig
earth,terre,地球,dì qiú,tierra,erde
private,privé,私人的,sī rén de,privado,privatgelände
box,boîte,盒子,hé zǐ,caja,kasten
cover,couverture,覆盖,fù gài,cubrir,startseite
judge,juge,法官,fǎ guān,juez,beurteilen
sake,saké,清酒,qīng jiǔ,motivo,sake
mommy,maman,妈妈,mā mā,mami,mama
possibly,peut-être,可能,kě néng,posiblemente,möglicherweise
worst,pire,最差,zuì chāi,peor,am schlimmsten
station,gare,车站,chē zhàn,estación,bahnhof
accept,j'accepte,接受,jiē shòu,aceptar,annehmen
blow,coup,吹,chuī,soplo,schlag
strange,étrange,奇怪的,qí guài de,extraño,komisch
save,enregistrer,节省,jié shěng,ahorrar,speichern
plane,avion,飞机,fēi jī,plano,flugzeug
yesterday,hier,昨天,zuó tiān,el dia de ayer,gestern
quick,rapide,快的,kuài de,rápido,schnell
lately,dernièrement,最近,zuì jìn,últimamente,in letzter zeit
stuck,bloqué,卡住,qiǎ zhù,pegado,stecken
lovely,beau,迷人的,mí rén de,encantador,schön
security,sécurité,安全,ān quán,seguridad,sicherheit
report,rapport,报告,bào gào,reporte,prüfbericht
difference,différence,区别,qū bié,diferencia,unterschied
store,boutique,店铺,diàn pū,tienda,geschäft
bag,sac,包,bāo,bolso,tasche
ball,balle,球,qiú,bola,ball
single,célibataire,单身的,dān shēn de,soltero,einzel
doubt,doute,怀疑,huái yí,duda,zweifel
blue,bleu,蓝色,lán sè,azul,blau
deep,profond,深的,shēn de,profundo,tief
park,se garer,公园,gōng yuán,parque,park
record,enregistrer,记录,jì lù,registro,aufzeichnen
lord,seigneur,主,zhǔ,señor,herr
join,rejoindre,加入,jiā rù,entrar,beitreten
key,clé,钥匙,yào chí,llave,schlüssel
captain,capitaine,队长,duì cháng,capitán,kapitän
card,carte,卡片,qiǎ piàn,tarjeta,karte
crime,la criminalité,犯罪,fàn zuì,crimen,verbrechen
window,la fenêtre,窗户,chuāng hù,ventana,fenster
return,revenir,返回,fǎn huí,regreso,rückkehr
guilty,coupable,有罪,yǒu zuì,culpable,schuldig
difficult,difficile,难的,nán de,difícil,schwierig
soul,âme,灵魂,líng hún,alma,seele
joke,plaisanter,玩笑,wán xiào,broma,scherz
service,service,服务,fú wù,servicio,service
magic,la magie,魔法,mó fǎ,magia,magie
uncle,oncle,叔叔,shū shū,tío,onkel
promise,promesse,承诺,chéng nuo,promesa,versprechen
public,publique,民众,mín zhòng,público,öffentlich
bother,embêter,打扰,dǎ rǎo,molestar,sich kümmern
island,île,岛,dǎo,isla,insel
seriously,sérieusement,严重地,yán zhòng dì,seriamente,ernsthaft
cell,cellule,细胞,xì bāo,celda,zelle
lead,mener,带领,dài lǐng,dirigir,das blei
broken,cassé,破碎的,po suì de,roto,gebrochen
advice,conseil,建议,jiàn yì,consejo,rat
somehow,en quelque sorte,不知何故,bù zhī hé gù,de alguna manera,irgendwie
push,pousser,推,tuī,empujar,drücken
concern,préoccuper,忧虑,yōu lǜ,preocupación,anliegen
usually,d'habitude,通常,tōng cháng,generalmente,in der regel
boss,chef,老板,lǎo bǎn,patrón,chef
rule,régner,规则,guī zé,regla,regel
summer,l'été,夏天,xià tiān,verano,sommer
thirty,trente,三十,sān shí,treinta,dreißig
risk,risque,风险,fēng xiǎn,riesgo,risiko
letting,location,出租,chū zū,dejando,lassen
officer,officier,官,guān,oficial,offizier
support,support,支持,zhī chí,apoyo,unterstützung
afternoon,après midi,下午,xià wǔ,tarde,nachmittag
born,née,出生,chū shēng,nació,geboren
apologise,s'excuser,道歉,dào qiàn,pedir disculpas,sich entschuldigen
seat,siège,座位,zuo wèi,asiento,sitz
nervous,nerveux,紧张的,jǐn zhāng de,nervioso,nervös
across,de l'autre côté,穿过,chuān guo,a través de,über
song,chanson,歌曲,gē qǔ,canción,lied
charge,charger,收费,shōu fèi,cargar,aufladen
patient,patient,病人,bìng rén,paciente,geduldig
boat,bateau,船,chuán,barco,boot
brain,cerveau,脑,nǎo,cerebro,gehirn
hide,cacher,隐藏,yǐn cáng,esconder,verstecken
general,général,一般的,yī bān de,general,allgemeines
nine,neuf,九,jiǔ,nueve,neun
huge,énorme,巨大的,jù dà de,enorme,riesig
breakfast,déjeuner,早餐,zǎo cān,desayuno,frühstück
horrible,horrible,可怕,kě pà,horrible,schrecklich
age,âge,年龄,nián líng,la edad,alter
awful,affreux,可怕,kě pà,horrible,schrecklich
pleasure,plaisir,乐趣,yuè qù,placer,vergnügen
driving,conduite,驾驶,jià shǐ,conduciendo,fahren
system,système,系统,xì tǒng,sistema,system
sell,vendre,卖,mài,vender,verkaufen
quit,quitter,退出,tuì chū,dejar,verlassen
dying,mourant,垂死,chuí sǐ,muriendo,absterben
chief,chef,首席,shǒu xí,jefe,chef
faith,foi,信仰,xìn yǎng,fe,vertrauen
gay,homosexuel,同性恋,tóng xìng liàn,gay,fröhlich
month,mois,月,yuè,mes,monat
visit,visite,访问,fǎng wèn,visitar,besuch
screw,vis,拧紧,níng jǐn,tornillo,schrauben
letter,lettre,信,xìn,carta,buchstabe
decide,décider,决定,jué dìng,decidir,entscheiden
double,double,双倍的,shuāng bèi de,doble,doppelt
sad,triste,伤心,shāng xīn,triste,traurig
press,presse,按,àn,prensa,drücken sie
forward,effronté,向前,xiàng qián,hacia adelante,nach vorne
fool,tromper,傻子,shǎ zǐ,tonto,narr
smell,sentir,闻,wén,oler,geruch
spell,épeler,拼写,pīn xiě,deletrear,fluch
memory,mémoire,记忆,jì yì,memoria,erinnerung
mark,marque,标记,biāo jì,marcos,markierung
slow,lent,减缓,jiǎn huǎn,lento,langsam
hungry,faim,饥饿的,jī è de,hambriento,hungrig
board,planche,木板,mù bǎn,tablero,planke
position,position,位置,wèi zhì,posición,position
hearing,audience,听力,tīng lì,audiencia,hören
rose,rose,玫瑰,méi guī,rosa,rose
kitchen,cuisine,厨房,chú fáng,cocina,küche
force,obliger,力量,lì liàng,fuerza,macht
fly,mouche,飞,fēi,mosca,fliegen
during,pendant,期间,qí jiān,durante,während
space,espacer,空间,kōng jiān,espacio,platz
kick,coup,踢,tī,patear,trete
other,autre,其他,qí tā,otro,sonstiges
grab,attraper,抓住,zhuā zhù,tomar,greifen
discuss,discuter,讨论,tǎo lùn,discutir,diskutieren
third,troisième,第三,dì sān,tercera,dritter
cat,chat,猫,māo,gato,katze
fifty,cinquante,五十,wǔ shí,cincuenta,fünfzig
mile,mile,英里,yīng lǐ,milla,meile
fat,gros,胖的,pàng de,grasa,fett
reading,en train de lire,读,dú,leyendo,lesen
idiot,idiot,笨蛋,bèn dàn,idiota,idiot
rock,roche,岩石,yán shí,roca,felsen
suddenly,soudainement,突然,tú rán,repentinamente,plötzlich
agent,agent,代理人,dài lǐ rén,agente,agent
bunch,groupe,束,shù,racimo,bündel
destroy,détruire,破坏,po pī,destruir,zerstören
track,piste,追踪,zhuī zōng,pista,spur
shoes,des chaussures,鞋,xié,zapatos,schuhe
scene,scène,场景,cháng jǐng,escena,szene
peace,paix,和平,hé píng,paz,frieden
demon,démon,恶魔,è mó,demonio,dämon
low,meugler,低的,dī de,bajo,niedrig
consider,envisager,考虑,kǎo lǜ,considerar,erwägen
drunk,ivre,醉,zuì,borracho,betrunken
tell,raconter,告诉,gào sù,contar,erzählen
knock,frappe,敲,qiāo,golpear,klopfen
bell,cloche,钟,zhōng,campana,klingel
cash,espèces,现金,xiàn jīn,dinero en efectivo,kasse
give,donner,给,gěi,dar,geben sie
department,département,部门,bù mén,departamento,abteilung
nose,nez,鼻子,bí zǐ,nariz,nase
turn,tourner,转动,zhuǎn dòng,girar,dreh dich
keep,garder,保持,bǎo chí,guardar,halten
beer,bière,啤酒,pí jiǔ,cerveza,bier
sooner,plus tôt,早点,zǎo diǎn,cuanto antes,früher
plenty,beaucoup,很多,hěn duō,mucho,eine menge
extra,supplémentaire,额外的,é wài de,extra,extra
attack,attaque,攻击,gōng jí,ataque,attacke
ground,sol,地面,dì miàn,suelo,boden
whose,dont,谁的,shuí de,cuyo,deren
weekend,fin de semaine,周末,zhōu mo,fin de semana,wochenende
matter,question,事情,shì qíng,importar,gegenstand
wrote,a écrit,写了,xiě le,escribió,schrieb
type,taper,类型,lèi xíng,escribe,typ
opportunity,opportunité,机会,jī huì,oportunidad,gelegenheit
king,roi,王,wáng,rey,könig
impossible,impossible,不可能的,bù kě néng de,imposible,unmöglich
book,livre,书,shū,libro,buchen
machine,machine,机器,jī qì,máquina,maschine
waste,déchets,浪费,làng fèi,desperdicio,abfall
pretend,faire semblant,假装,jiǎ zhuāng,pretender,vorgeben
danger,danger,危险,wēi xiǎn,peligro,achtung
wall,mur,墙,qiáng,pared,mauer
jump,saut,跳,tiào,salto,springen
proof,preuve,证明,zhèng míng,prueba,nachweisen
complete,achevée,完全的,wán quán de,completo,komplett
arrest,arrêter,逮捕,dài bǔ,arrestar,festnahme
perfectly,à la perfection,完美,wán měi,perfectamente,perfekt
warm,chaleureux,温暖的,wēn nuǎn de,cálido,warm
pull,tirer,拉,lā,jalar,ziehen
twice,à deux reprises,两次,liǎng cì,dos veces,zweimal
easier,plus facile,更轻松,gèng qīng sōng,más fácil,einfacher
suit,combinaison,适合,guā hé,traje,passen
romantic,romantique,浪漫的,làng màn de,romántico,romantisch
drug,médicament,药品,yào pǐn,droga,arzneimittel
comfortable,confortable,自在,zì zài,cómodo,komfortabel
fit,ajuster,合身,hé shēn,encajar,fit
divorce,divorce,离婚,chī hūn,divorcio,scheiden lassen
begin,commencer,开始,kāi shǐ,empezar,start
closely,étroitement,密切,mì qiē,cercanamente,eng
ruin,se ruiner,废墟,fèi xū,ruina,ruine
although,même si,虽然,suī rán,a pesar de que,obwohl
smile,le sourire,微笑,wēi xiào,sonrisa,lächeln
laugh,rire,笑,xiào,reír,lachen
fish,poisson,鱼,yú,pez,fisch
treat,traiter,对待,duì dài,tratar,behandeln
fear,peur,害怕,hài pà,temor,furcht
amber,ambre,琥珀色,hǔ po sè,ámbar,bernstein
guy,mec,家伙,jiā huǒ,chico,kerl
otherwise,autrement,除此以外,chú cǐ yǐ wài,de lo contrario,andernfalls
excited,excité,兴奋的,xīng fèn de,emocionado,aufgeregt
mail,courrier,邮件,yóu jiàn,correo,mail
green,vert,绿色,lǜ sè,verde,grün
stole,a volé,偷了,tōu le,robó,stahl
notice,avis,注意,zhù yì,aviso,notiz
excellent,excellent,优秀,yōu xiù,excelente,ausgezeichnet
pop,pop,流行音乐,liú xíng yīn yuè,música pop,pop
paper,papier,纸,zhǐ,papel,papier
bottom,bas,底部,dǐ bù,fondo,unterseite
note,remarque,笔记,bǐ jì,nota,hinweis
sudden,soudain,突然,tú rán,repentino,plötzlich
church,église,教会,jiào huì,iglesia,kirche
bathroom,salle de bains,浴室,yù shì,cuarto de baño,bad
sing,chanter,唱,chàng,cantar,singen
glass,un verre,玻璃,bō lí,vidrio,glas
tree,arbre,树,shù,árbol,baum
contact,contact,接触,jiē hóng,contacto,kontakt
shop,magasin,店铺,diàn pū,tienda,einkaufen
reach,atteindre,抵达,dǐ dá,alcanzar,erreichen
cry,cri,哭,kū,llorar,weinen
cake,gâteau,蛋糕,dàn gāo,pastel,kuchen
partner,partenaire,伙伴,huǒ bàn,pareja,partner
bus,autobus,公共汽车,gōng gòng qì chē,autobús,bus
computer,ordinateur,计算机,jì suàn jī,computadora,rechner
study,étudier,学习,xué xí,estudio,lernen
star,star,星星,xīng xīng,estrella,stern
area,région,区域,qū yù,zona,bereich
wind,vent,风,fēng,viento,wind
chicken,poulet,鸡,jī,pollo,hähnchen
dry,sécher,干燥,gān zào,seco,trocken
hero,héros,英雄,yīng xióng,héroe,held
error,erreur,错误,cuo wù,error,error
are,sommes,是,shì,están,sind
build,construire,建造,jiàn zào,construir,bauen
sea,mer,海,hǎi,mar,meer
saturday,samedi,周六,zhōu liù,sábado,samstag
add,ajouter,添加,tiān jiā,agregar,hinzufügen
birth,naissance,出生,chū shēng,nacimiento,geburt
bird,oiseau,鸟,niǎo,pájaro,vogel
grandmother,grand-mère,祖母,zǔ mǔ,abuela,oma
heavy,lourd,重的,zhòng de,pesado,schwer
west,ouest,西,xī,oeste,westen
lesson,cours,课,kè,lección,lektion
heat,chauffer,热,rè,calor,wärme
speed,la vitesse,速度,sù dù,velocidad,geschwindigkeit
milk,le lait,牛奶,niú nǎi,leche,milch
rain,pluie,雨,yǔ,lluvia,regen
sugar,du sucre,糖,táng,azúcar,zucker
market,marché,市场,shì cháng,mercado,markt
process,traiter,过程,guo chéng,proceso,prozess
stone,calcul,石头,shí tóu,piedra,stein
serve,servir,服务,fú wù,atender,dienen
river,fleuve,河,hé,río,fluss
super,super,极好的,jí hǎo de,súper,super
monkey,singe,猴,hóu,mono,affe
pig,cochon,猪,zhū,cerdo,schwein
chat,discuter,聊天,liáo tiān,chat,plaudern
signal,signal,信号,xìn hào,señal,signal
cup,tasse,杯子,bēi zǐ,taza,tasse
bee,abeille,蜜蜂,mì fēng,abeja,biene
a,une,一种,yī chóng,a,ein
above,dessus,以上,yǐ shàng,encima,oben
addition,une addition,添加,tiān jiā,adición,zusatz
among,parmi,之中,zhī zhōng,entre,unter
amount,montant,数量,shù liàng,monto,betragen
angle,angle,角度,jiǎo dù,ángulo,winkel
animal,animal,动物,dòng wù,animal,tier
appear,apparaître,出现,chū xiàn,aparecer,in erscheinung treten
apple,pomme,苹果,píng guǒ,manzana,apfel
art,de l'art,艺术,yì zhú,arte,kunst
as,comme,作为,zuo wèi,como,wie
at,à,在,zài,a,bei
bank,banque,银行,yín xíng,banco,bank
base,base,根据,gēn jù,base,base
bear,ours,熊,xióng,soportar,bär
belong,appartenir,属于,shǔ yú,pertenecer,gehören
block,bloquer,堵塞,dǔ sāi,cuadra,block
bone,os,骨,gǔ,hueso,knochen
brown,brun,棕色的,zōng sè de,marrón,braun
cannot,ne peut pas,不能,bù néng,no poder,kann nicht
capital,capitale,首都,shǒu dū,capital,hauptstadt
carry,transporter,携带,xī dài,llevar,tragen
centre,centre,中心,zhōng xīn,centrar,center
century,siècle,世纪,shì jì,siglo,jahrhundert
circle,cercle,圆圈,yuán quān,circulo,kreis
cloud,nuage,云,yún,nube,wolke
cost,coût,成本,chéng běn,costo,kosten
cold,froid,寒冷的,hán lěng de,frío,kalt
column,colonne,柱子,zhù zǐ,columna,säule
common,commun,常见的,cháng jiàn de,común,gemeinsames
compere,animateur,主持人,zhǔ chí rén,presentador,konkurrieren
condition,état,健康）状况,jiàn kāng）zhuàng kuàng,condición,zustand
contain,contenir,包含,bāo hán,contiene,enthalten
continue,continuez,继续,jì xù,seguir,fortsetzen
cook,cuisiner,厨师,chú shī,cocinera,kochen
copy,copie,复制,fù zhì,copiar,kopieren
cow,vache,奶牛,nǎi niú,vaca,kuh
create,créer,创建,chuàng jiàn,crear,schaffen
cross,traverser,叉,cha,cruz,kreuz
crowd,foule,人群,rén qún,multitud,menge
describe,décris,描述,miáo shù,describir,beschreiben
desert,désert,沙漠,shā mo,desierto,wüste
design,conception,设计,shè jì,diseño,entwurf
detail,détail,细节,xì jié,detalle,detail
dictionary,dictionnaire,字典,zì diǎn,diccionario,wörterbuch
direction,direction,方向,fāng xiàng,dirección,richtung
ear,oreille,耳朵,ěr duǒ,oreja,ohr
east,est,东,dōng,este,ost
like,comme,喜欢,xǐ huān,igual que,mögen
edge,bord,边缘,biān yuán,borde,kante
effect,effet,影响,yǐng xiǎng,efecto,wirkung
egg,oeuf,蛋,dàn,huevo,ei
element,élément,元素,yuán sù,elemento,element
energy,énergie,活力,huó lì,energía,energie
engine,moteur,引擎,yǐn qíng,motor,motor
england,angleterre,英国,yīng guó,inglaterra,england
english,anglais,英语,yīng yǔ,inglés,englisch
example,exemple,例子,lì zǐ,ejemplo,beispiel
express,express,表达,biǎo dá,rápido,ausdrücken
famous,célèbre,著名的,zhù míng de,famoso,berühmt
farm,cultiver,农场,nóng cháng,granja,bauernhof
field,champ,场地,cháng dì,campo,gebiet
finger,doigt,手指,shǒu zhǐ,dedo,finger
flat,appartement,平坦的,píng tǎn de,plano,eben
flower,fleur,花,huā,flor,blume
foot,pied,脚,jiǎo,pie,fuß
forest,forêt,森林,sēn lín,bosque,wald
form,former,形式,xíng shì,formulario,form
fresh,frais,新鲜的,xīn xiān de,fresco,frisch
fruit,fruit,水果,shuǐ guǒ,fruta,frucht
garden,jardin,花园,huā yuán,jardín,garten
gas,gaz,气体,qì tǐ,gas,gas
gold,or,金子,jīn zǐ,oro,gold
group,grouper,团体,tuán tǐ,grupo,gruppe
grow,grandir,生长,shēng cháng,crecer,größer werden
hat,chapeau,帽子,mào zǐ,sombrero,hut
hole,trou,洞,dòng,agujero,loch
horse,cheval,马,mǎ,caballo,pferd
hunt,chasser,打猎,dǎ xí,cazar,jagd
ice,la glace,冰,bīng,hielo,eis
